,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"W / X / Y","Tani Yuuki",220318,https://open.spotify.com/track/4IfrM44LofE9bSs6TDZS49
2,ベテルギウス,Yuuri,205618,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR
3,シンデレラボーイ,"Saucy Dog",191016,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V
4,なんでもないよ、,"Macaroni Empitsu",184433,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl
5,ミックスナッツ,"Official HIGE DANdism",182799,https://open.spotify.com/track/60ReNXcPcsVFd7nUuQw5HZ
6,カメレオン,"King Gnu",176656,https://open.spotify.com/track/0J0P8iSE6l3pYHbUdNFYdS
7,残響散歌,Aimer,161715,https://open.spotify.com/track/7v8wKvNQQIxkugCFFjrkaO
8,ドライフラワー,Yuuri,158183,https://open.spotify.com/track/4kPlQKwtPrnqLgrmmKFSlA
9,"LOVE DIVE",IVE,151813,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi
10,水平線,"back number",151341,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L
11,Comedy,"Gen Hoshino",146012,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV
12,きらり,"Fujii Kaze",140448,https://open.spotify.com/track/51oc6MEsXTpnPn6GOw5VuP
13,Dynamite,BTS,139722,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
14,CITRUS,Da-iCE,138637,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR
15,Butter,BTS,138485,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
16,シャッター,Yuuri,138164,https://open.spotify.com/track/19mjCzLuMHZ0Tyn3eI85bo
17,逆夢,"King Gnu",136087,https://open.spotify.com/track/6ZiEWet0uFRwWBCEKCQ8rY
18,一途,"King Gnu",133955,https://open.spotify.com/track/7ncPjJBktLEOpstY5JOUMK
19,恋風邪にのせて,Vaundy,133203,https://open.spotify.com/track/5PeXak0Ox3JmH2oor0qnGt
20,群青,YOASOBI,132343,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk
21,勿忘,"Awesome City Club",130441,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h
22,"Permission to Dance",BTS,127997,https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry
23,"STAY (with Justin Bieber)","The Kid LAROI",120949,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
24,夜に駆ける,YOASOBI,119735,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
25,点描の唄,"Mrs. GREEN APPLE",118047,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
26,魔法の絨毯,"Takaya Kawasaki",116904,https://open.spotify.com/track/3PK5ERLCyMuQ5Cb89GbZVL
27,ハート,Aimyon,114225,https://open.spotify.com/track/6cvKfEw8rDcmXBslqSEC9G
28,踊り子,Vaundy,113861,https://open.spotify.com/track/4xk70Qur2QeRmWIzWPC63V
29,"Cry Baby","Official HIGE DANdism",112790,https://open.spotify.com/track/6wDntdm888mDo458RaYjGl
30,"WA DA DA",Kep1er,112236,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
31,YOKAZE,"HENTAI SHINSHI CLUB",112199,https://open.spotify.com/track/6tkSMR8bEIfEcJn7ybJtSP
32,怪物,YOASOBI,110181,https://open.spotify.com/track/6uhIF5J5Txaie0is2nXdxU
33,Mela!,"Ryokuoushoku Shakai",107796,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD
34,常緑,"Chippoke Ohashi",107302,https://open.spotify.com/track/6qn31XzTa6YKXs5FZpAPgP
35,三原色,YOASOBI,104376,https://open.spotify.com/track/0UBUg8NU4XJtQqzTPs8Pkr
36,ヨワネハキ,MAISONdes,102637,https://open.spotify.com/track/0FOVGBW0RpVRuDuUuN4ZVw
37,猫,DISH//,100830,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx
38,115万キロのフィルム,"Official HIGE DANdism",99032,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
39,"The Feels",TWICE,97623,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
40,ELEVEN,IVE,96484,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
41,"Stand by me, Stand by you.",HIRAIDAI,96370,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
42,まつり,"Fujii Kaze",96230,https://open.spotify.com/track/3OdkC5pG8vc26S26qHyBo8
43,踊,Ado,96226,https://open.spotify.com/track/0871AdnvzzSGr5XdTJaDHC
44,Pretender,"Official HIGE DANdism",96148,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
45,"おもかげ (produced by Vaundy)",milet,93504,https://open.spotify.com/track/6ts1KCOudfDYXYfyWtq0k1
46,BOY,"King Gnu",93315,https://open.spotify.com/track/3oQaOjaIYPsnJbGNzXcIID
47,"I LOVE...","Official HIGE DANdism",91062,https://open.spotify.com/track/5wWLNNwMAehpj83FU4Lz0m
48,もう少しだけ,YOASOBI,87815,https://open.spotify.com/track/2cBAc8f0ueFKSXGQRJRsyN
49,虹,"Masaki Suda",85390,https://open.spotify.com/track/7eqjbcOZTgZbV0lX2ghtfV
50,"Kaikai Kitan",Eve,85359,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
51,Bye-Good-Bye,BE:FIRST,76040,https://open.spotify.com/track/0rPrGZTtScNSRL2jZoooKO
52,うるうびと,RADWIMPS,70589,https://open.spotify.com/track/6mJIn3fvwWHHAnrR3LEdxp
53,魔法にかけられて,"Saucy Dog",68258,https://open.spotify.com/track/03RD1XAEH7lSTrYe4zMDl9
54,怪獣の花唄,Vaundy,68062,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx
55,いつか,"Saucy Dog",63583,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT
56,ばかまじめ,"Creepy Nuts",60579,https://open.spotify.com/track/55emtNBnUXszixuQj4Fg6I
57,のびしろ,"Creepy Nuts",60549,https://open.spotify.com/track/3bbIIVIwBoLqVcLebiEJFo
58,クロノスタシス,"BUMP OF CHICKEN",60041,https://open.spotify.com/track/6Pd73yNBtoVpTRM6xLwOGp
59,ASOBO,NiziU,56514,https://open.spotify.com/track/4rdmyc70mJQEfhKeiFDLFZ
60,ニュー・マイ・ノーマル,"Mrs. GREEN APPLE",56320,https://open.spotify.com/track/12fFNgW4IoYQdRCfqCPk9d
61,スパークル,"Lilas Ikuta",56110,https://open.spotify.com/track/6EuubEs5qOmJdpNhkU47OZ
62,napori,Vaundy,55913,https://open.spotify.com/track/7LPL74iMxXZ4hEjCwmLMae
63,レオ,Yuuri,55503,https://open.spotify.com/track/3eg3igrhEhzk8bqqRz6XCt
64,恋人ごっこ,"Macaroni Empitsu",54000,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
65,沈丁花,DISH//,52257,https://open.spotify.com/track/79TdseXlAiANFOTstIwejv
66,花占い,Vaundy,51712,https://open.spotify.com/track/2PlbwoIVr25oita35jg9ht
67,ツキミソウ,Novelbright,50251,https://open.spotify.com/track/6sElEqOIGENWjpxGFeo5ct
68,"My Universe",Coldplay,50202,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
69,白日,"King Gnu",50045,https://open.spotify.com/track/172fMG26G2OoEzzg0wn26r
70,ミラーチューン,ZUTOMAYO,49173,https://open.spotify.com/track/0R8JLNP107Hr7V7lL9oh13
71,O.O,NMIXX,49027,https://open.spotify.com/track/1m2PksrrMpIev63uPxT1V0
72,双葉,Aimyon,48885,https://open.spotify.com/track/0IAX0LbVY440WWJyOyuLw7
73,怪盗,"back number",47073,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp
74,不可幸力,Vaundy,46915,https://open.spotify.com/track/57MvUwzIzRJ0r21rnNU1s1
75,ブルーベリー・ナイツ,"Macaroni Empitsu",46821,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
76,結,"Saucy Dog",46205,https://open.spotify.com/track/5Anr2wqdL182BsI02iCbcd
77,青と夏,"Mrs. GREEN APPLE",45924,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
78,ミライチズ,"Yoru no Hitowarai",45748,https://open.spotify.com/track/3mSqtn05vfpqAMpFTLsxpi
79,ショック!,sakanaction,45585,https://open.spotify.com/track/5JptX8WFwejyeb6OuKL7wG
80,裸の勇者,Vaundy,44562,https://open.spotify.com/track/3k64vNcgYPkETG7TNgpW4o
81,僕らまた,SG,44393,https://open.spotify.com/track/5hzOyvCqy8sb39xGXUEdpb
82,"Walking with you",Novelbright,44308,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
83,夜撫でるメノウ,Ayase,44080,https://open.spotify.com/track/6IHWPY5iBUI1AOUclbtE6F
84,Darl+ing,SEVENTEEN,44031,https://open.spotify.com/track/6vo0dV9t7PCQZKsLFwVwZ5
85,マリーゴールド,Aimyon,43577,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
86,チェリー,SPITZ,43288,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z
87,"Boy With Luv (feat. Halsey)",BTS,43112,https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI
88,Answer,"Lilas Ikuta",42549,https://open.spotify.com/track/5hVAQTNarrb3lmWqg9Ens4
89,春を告げる,yama,42530,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
90,裸の心,Aimyon,42369,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
91,阿修羅ちゃん,Ado,42162,https://open.spotify.com/track/0cN6iBeCR7NgeBeTIKjLml
92,"As It Was","Harry Styles",41793,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
93,かくれんぼ,Yuuri,41791,https://open.spotify.com/track/0tMqllhrXe8CWOosrCD1fE
94,花束のかわりにメロディーを,"Shota Shimizu",41673,https://open.spotify.com/track/2028QNsVTmp5IF7UK4ZnaE
95,君に夢中,"Hikaru Utada",41259,https://open.spotify.com/track/0oxWaHk4e669g5VHbQCflA
96,桜が降る夜は,Aimyon,39684,https://open.spotify.com/track/1iEsGutpDvMJG0zYqoKKmQ
97,バニラ,Kyanai,39552,https://open.spotify.com/track/0zfNtgPJ5FLkbveRjSdCMb
98,ギラギラ,Ado,38830,https://open.spotify.com/track/2mSRPQsUDIXJFfo3CpKJBA
99,ミスター,YOASOBI,38671,https://open.spotify.com/track/2YbNZLoiREBYZo4HeKB8Np
100,Shivers,"Ed Sheeran",38207,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
101,陽はまた昇るから,"Ryokuoushoku Shakai",37951,https://open.spotify.com/track/43PlsJn27zRG2KjpL12eb7
102,あぁ、もう。,"Saucy Dog",37615,https://open.spotify.com/track/7G4rZHIBiXJNFmLYXtWCPm
103,インフェルノ,"Mrs. GREEN APPLE",37512,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
104,愛言葉,"Tani Yuuki",37415,https://open.spotify.com/track/515q6vR077kY4BQv8F3pGj
105,ピーターパン,Yuuri,37332,https://open.spotify.com/track/5MLIlPL6L8RVqL7YSpFdgr
106,Anarchy,"Official HIGE DANdism",37223,https://open.spotify.com/track/0ZPYvSJZ1feuhUcG17PHqP
107,ハルカ,YOASOBI,37152,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv
108,Tokimeki,Vaundy,37111,https://open.spotify.com/track/18gB0d6DaRPvrQBbl7WEuk
109,"Bluma to Lunch","BLOOM VASE",37075,https://open.spotify.com/track/3EYWY7XBj1BkCKX3R3hoZk
110,題名のない今日,HIRAIDAI,36713,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx
111,星が泳ぐ,"Macaroni Empitsu",36449,https://open.spotify.com/track/0MnPdlWm7MSSUnEamZp5lX
112,大阪LOVER,"DREAMS COME TRUE",36421,https://open.spotify.com/track/2WpgKrUoWaZHQLTgT6aZBF
113,"Shape of You","Ed Sheeran",36365,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
114,Ghost,"Justin Bieber",36209,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
115,栞,"Creep Hyp",36061,https://open.spotify.com/track/2Bsg6EfrmEx0x0eC8v4vuG
116,心という名の不可解,Ado,36036,https://open.spotify.com/track/5dwkmgutIFdurpXlzEyCtB
117,世界の秘密,Vaundy,35821,https://open.spotify.com/track/2ISglgxR4TxUXxrA5Iqwzr
118,炎,LiSA,35790,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
119,Lemon,"Kenshi Yonezu",35720,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6
120,ワタリドリ,[Alexandros],35633,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
121,不思議,"Gen Hoshino",35579,https://open.spotify.com/track/6NKn02oJDkUkRa9IHbMe3n
122,感電,"Kenshi Yonezu",35429,https://open.spotify.com/track/6H0PLsSYMzDOqhLgyOlzIj
123,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",34713,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
124,東京フラッシュ,Vaundy,34226,https://open.spotify.com/track/3vXdK7DCzJyp1MIh10TJFS
125,愛とか恋とか,Novelbright,34175,https://open.spotify.com/track/4McP7SOTK2NWkydOcDCajC
126,キャラクター,"Ryokuoushoku Shakai",34085,https://open.spotify.com/track/0O4YelF6Zneq7sk1Ye73N2
127,"Curtain Call","Shota Shimizu",33923,https://open.spotify.com/track/3JzAKk0CpUlgzS1mPqzBwk
128,"HAPPY BIRTHDAY","back number",33827,https://open.spotify.com/track/4FMz2RFrbDGzJO7K4D0vS3
129,Chopstick,NiziU,33597,https://open.spotify.com/track/6Yv0xoR37tcxzvey8ybW5l
130,アンコール,YOASOBI,33433,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC
131,ミズキリ,Yuuri,33360,https://open.spotify.com/track/6T8eKlvqWuPKJT7euIqoxX
132,カタオモイ,Aimer,33198,https://open.spotify.com/track/2HovXsvcdJur52BOcYGydz
133,Savage,aespa,33114,https://open.spotify.com/track/3dbLT62Cvs46Ju7a8gpr36
134,全力少年,"Sukima Switch",32806,https://open.spotify.com/track/3Ztjw8utVpcrzms1RrsJvR
135,Buddy,HIRAIDAI,32579,https://open.spotify.com/track/7xfPyBgb9om8iUooItxHl8
136,"Akuma no Ko","Higuchi Ai",32224,https://open.spotify.com/track/4pw7EuK2WTWGHI51jCKuGJ
137,"Still Life",BIGBANG,32209,https://open.spotify.com/track/3TSLqZssCoCdDlMhCJ08XW
138,天体観測,"BUMP OF CHICKEN",32198,https://open.spotify.com/track/3hRRYgBeunE3PTmnzATTS0
139,ラブレター,YOASOBI,32171,https://open.spotify.com/track/0UcjHexmVrLkUOflxPefNe
140,海のリビング,鈴木鈴木,32128,https://open.spotify.com/track/0CZB07xMxIGRfCZT93ynFj
141,"Life Goes On",BTS,32074,https://open.spotify.com/track/5FVbvttjEvQ8r2BgUcJgNg
142,うっせぇわ,Ado,32044,https://open.spotify.com/track/5QS01sq07pThdktoNUxXRZ
143,"Shining One",BE:FIRST,32007,https://open.spotify.com/track/7DTKSwO1kTAJDu9Q5U73UZ
144,僕のこと,"Mrs. GREEN APPLE",31880,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
145,"Love Song",Uru,31718,https://open.spotify.com/track/2aAuO61alPO20xyePFHjdf
146,"水星 × 今夜はブギー・バック nice vocal","池田智子 × TENDRE",31682,https://open.spotify.com/track/1PvDnTxwVndr7bOrbtI2Zx
147,ハルジオン,YOASOBI,31586,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv
148,あの夢をなぞって,YOASOBI,31411,https://open.spotify.com/track/5ptl2PXkiSth54HCuGO7vN
149,"Stay Gold",BTS,31409,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
150,アイノカタチ,MISIA,31360,https://open.spotify.com/track/7mSVOYRseiZi20xtBKhHnF
151,Universe,"Official HIGE DANdism",31189,https://open.spotify.com/track/0RuLz62h4YPNXqdO20Fmf6
152,"Film out",BTS,31139,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
153,春泥棒,ヨルシカ,31133,https://open.spotify.com/track/1rr2DJOxV0sHXeUXCAz1yf
154,何度でも,"DREAMS COME TRUE",30951,https://open.spotify.com/track/6Qq8UOS6QzeSYFUVXC5wEB
155,奏(かなで),"Sukima Switch",30809,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
156,高嶺の花子さん,"back number",30756,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
157,君はロックを聴かない,Aimyon,30707,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
158,"猫 〜THE FIRST TAKE ver.〜",DISH//,30672,https://open.spotify.com/track/25BJRpLBe3i6d8okphoRAm
159,HANABI,Mr.Children,30654,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua
160,ノーダウト,"Official HIGE DANdism",30569,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
161,あいつら全員同窓会,ZUTOMAYO,30497,https://open.spotify.com/track/2VIK6jaaKghS4QPHr6sAkv
162,月の椀,sakanaction,30278,https://open.spotify.com/track/5GVb3tUNjK3xirJfVi8p6v
163,DNA,BTS,30212,https://open.spotify.com/track/3uRLwBjI2TahxslcMTvpFs
164,"Heat Waves","Glass Animals",30212,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
165,"Feel My Rhythm","Red Velvet",30055,https://open.spotify.com/track/2oBMZYteeO8DyXV9gDx6Za
166,旅路,"Fujii Kaze",29993,https://open.spotify.com/track/7uSLJCDetmdm3tQcoYLyty
167,丸ノ内サディスティック,"Sheena Ringo",29985,https://open.spotify.com/track/1mWN1USPKg632qQXG9sfDL
168,まちがいさがし,"Masaki Suda",29944,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo
169,愛を知るまでは,Aimyon,29937,https://open.spotify.com/track/5gh0y6ZmuppQvoPbAGkeE2
170,ハルノヒ,Aimyon,29890,https://open.spotify.com/track/1oNeSCt0CMekCyyLo06kFs
171,キセキ,GReeeeN,29883,https://open.spotify.com/track/7ztdl6cnbJgHRdMkKldkts
172,春愁,"Mrs. GREEN APPLE",29876,https://open.spotify.com/track/5SHguvOUbyPTINNjCvRo8K
173,永遠,Mr.Children,29789,https://open.spotify.com/track/7oCZ1O1L4TuLRnmt8Io4IU
174,さよならエレジー,"Masaki Suda",29699,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI
175,ホワイトキス,鈴木鈴木,29627,https://open.spotify.com/track/7sRYDTjWTX00fd9BCOflLo
176,"GILA GILA",Awich,29625,https://open.spotify.com/track/7AsWduh1mkB8uKOox5NH0X
177,燃えよ,"Fujii Kaze",29607,https://open.spotify.com/track/3nPRJP6hLZx32covZfpB6p
178,DARARI,TREASURE,29410,https://open.spotify.com/track/0dcnrLo8s1rhjm8euGjI4n
179,TOMBOY,(G)I-DLE,29344,https://open.spotify.com/track/0IGUXY4JbK18bu9oD4mPIm
180,Romance,YOASOBI,29344,https://open.spotify.com/track/0dSPApaBoWn6SA4GKWq9QK
181,abcdefu,GAYLE,29246,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
182,ヤングアダルト,"Macaroni Empitsu",29234,https://open.spotify.com/track/3IanNVIcOMlKFr329uhNcA
183,Euphoria,BTS,29114,https://open.spotify.com/track/5YMXGBD6vcYP7IolemyLtK
184,BADモード,"Hikaru Utada",29019,https://open.spotify.com/track/3TxjMrMGWFP0jkIy0tVvVn
185,Surges,Orangestar,28977,https://open.spotify.com/track/5XhxMq0dQNenKr6eDU79Ka
186,Happiness,Che'Nelle,28933,https://open.spotify.com/track/55JlyXw6KeFeVC9d9uCZ2K
187,愛唄,GReeeeN,28783,https://open.spotify.com/track/7iXHLtPosbHvglVSJ4rxLq
188,"Step Back","GOT the beat",28669,https://open.spotify.com/track/3LCwQoTrdQgHsGJE5gGVqx
189,MANIAC,"Stray Kids",28561,https://open.spotify.com/track/7BDHDiidJ8WV349p3HTxTV
190,アポトーシス,"Official HIGE DANdism",28554,https://open.spotify.com/track/222BlW44cS9nOM6C369IB2
191,Lights,BTS,28481,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
192,"Wherever you are","ONE OK ROCK",28382,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
193,「いつも通り」のキセキ。,HIRAIDAI,28296,https://open.spotify.com/track/7dF2uMG6NuHH2xipdNAWBq
194,神っぽいな,PinocchioP,28154,https://open.spotify.com/track/5ALRT96oaGuX7VHySBLbQu
195,紅蓮華,LiSA,28152,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
196,"Tie Me Down (with Elley Duhé)",Gryffin,28105,https://open.spotify.com/track/2zh01m4PiHaZz4BAm0NRxs
197,プロローグ,Uru,28079,https://open.spotify.com/track/4YMukCV1BsdK8V9kZoQpT6
198,ただ君に晴れ,ヨルシカ,27897,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
199,Yesterday,"Official HIGE DANdism",27807,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz
200,"Light Switch","Charlie Puth",27784,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
